Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK
Date,,,,,,
2024-06-13,29.71319007873535,31.75,32.0,31.5,32.0,32166200
2024-06-14,29.71319007873535,31.75,32.0,31.5,31.5,23980700
2024-06-17,29.71319007873535,31.75,31.75,31.75,31.75,0
2024-06-18,29.71319007873535,31.75,31.75,31.75,31.75,0
2024-06-19,29.71319007873535,31.75,31.75,31.75,31.75,0
2024-06-20,30.181114196777344,32.25,32.5,32.0,32.5,25575700
2024-06-21,29.94715118408203,32.0,32.25,31.75,32.25,35584700
2024-06-24,29.94715118408203,32.0,32.0,32.0,32.0,0
2024-06-25,29.94715118408203,32.0,32.0,32.0,32.0,0
2024-06-26,29.94715118408203,32.0,32.0,32.0,32.0,0
2024-06-27,30.415075302124023,32.5,32.75,32.5,32.75,13045100
2024-06-28,30.415075302124023,32.5,32.75,32.5,32.5,21755800
2024-07-01,30.415075302124023,32.5,32.5,32.5,32.5,0
2024-07-02,30.415075302124023,32.5,32.5,32.5,32.5,0
2024-07-03,30.649038314819336,32.75,32.75,32.5,32.5,10114800
2024-07-04,30.649038314819336,32.75,33.0,32.75,32.75,13980500
2024-07-05,30.88300132751465,33.0,33.0,32.75,33.0,4758600
2024-07-08,30.88300132751465,33.0,33.0,32.75,33.0,13042600
2024-07-09,30.88300132751465,33.0,33.0,33.0,33.0,0
2024-07-10,31.116962432861328,33.25,33.25,32.75,33.0,17480800
2024-07-11,31.116962432861328,33.25,33.25,33.25,33.25,0
2024-07-12,31.116962432861328,33.25,33.25,33.25,33.25,0
2024-07-15,31.116962432861328,33.25,33.25,33.25,33.25,0
2024-07-16,29.94715118408203,32.0,32.75,32.0,32.5,40206600
2024-07-17,29.94715118408203,32.0,32.0,32.0,32.0,0
2024-07-18,30.415075302124023,32.5,32.75,32.25,32.25,14775000
2024-07-19,30.181114196777344,32.25,32.75,32.25,32.75,21537500
2024-07-23,29.94715118408203,32.0,32.5,32.0,32.25,22822100
2024-07-24,29.71319007873535,31.75,32.25,31.75,32.0,23816000
2024-07-25,29.71319007873535,31.75,32.0,31.5,31.75,25980600
2024-07-26,29.71319007873535,31.75,32.0,31.75,32.0,18522800
2024-07-30,29.71319007873535,31.75,31.75,31.75,31.75,0
2024-07-31,29.94715118408203,32.0,32.25,31.75,31.75,33634100
2024-08-01,29.71319007873535,31.75,32.25,31.75,32.0,24674200
2024-08-02,29.71319007873535,31.75,31.75,31.75,31.75,0
2024-08-05,29.24526596069336,31.25,32.0,31.25,31.75,37553100
2024-08-06,29.71319007873535,31.75,31.75,31.25,31.25,15129500
2024-08-07,29.94715118408203,32.0,32.0,31.75,31.75,12872100
2024-08-08,29.94715118408203,32.0,32.0,32.0,32.0,0
2024-08-09,31.116962432861328,33.25,33.5,32.25,32.25,82898900
2024-08-13,32.05281066894531,34.25,34.25,33.0,33.25,84608600
2024-08-14,31.584888458251953,33.75,34.5,33.5,34.25,71902700
2024-08-15,31.584888458251953,33.75,33.75,33.75,33.75,0
2024-08-16,32.05281066894531,34.25,34.5,34.0,34.25,33174800
2024-08-19,32.05281066894531,34.25,34.25,34.25,34.25,0
2024-08-20,32.05281066894531,34.25,34.5,34.0,34.5,30248300
2024-08-21,32.05281066894531,34.25,34.25,34.0,34.25,22283900
2024-08-22,32.05281066894531,34.25,34.25,34.25,34.25,0
2024-08-23,32.286773681640625,34.5,34.75,34.25,34.25,45905800
2024-08-26,32.52073669433594,34.75,34.75,34.5,34.5,15942500
2024-08-27,32.286773681640625,34.5,34.75,34.25,34.75,45996900
2024-08-28,31.85564422607422,33.25,34.0,33.25,33.75,53671900
2024-08-29,32.09516143798828,33.5,33.5,33.25,33.25,6356600
2024-08-30,32.09516143798828,33.5,33.75,33.25,33.5,63780300
2024-09-02,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-09-03,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-09-04,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-09-05,32.334678649902344,33.75,34.0,32.75,33.0,104377100
2024-09-06,33.29273986816406,34.75,35.0,34.0,34.0,75294800
2024-09-09,33.29273986816406,34.75,34.75,34.75,34.75,0
2024-09-10,32.334678649902344,33.75,34.5,33.75,34.25,56443000
2024-09-11,31.61612892150879,33.0,33.75,32.75,33.75,111564700
2024-09-12,31.61612892150879,33.0,33.25,33.0,33.0,33553800
2024-09-13,31.61612892150879,33.0,33.25,32.75,33.0,47273100
2024-09-16,31.61612892150879,33.0,33.0,33.0,33.0,0
2024-09-17,31.61612892150879,33.0,33.0,33.0,33.0,0
2024-09-18,31.61612892150879,33.0,33.0,33.0,33.0,0
2024-09-19,31.61612892150879,33.0,33.0,33.0,33.0,0
2024-09-20,31.61612892150879,33.0,33.0,33.0,33.0,0
2024-09-23,31.85564422607422,33.25,33.5,33.0,33.5,30278900
2024-09-24,32.334678649902344,33.75,33.75,33.25,33.5,38595900
2024-09-25,32.09516143798828,33.5,34.0,33.5,33.75,28629800
2024-09-26,32.09516143798828,33.5,33.75,33.25,33.5,32310700
2024-09-27,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-09-30,32.57419204711914,34.0,34.0,33.5,33.5,27238000
2024-10-01,32.57419204711914,34.0,34.0,34.0,34.0,0
2024-10-02,32.09516143798828,33.5,34.0,33.5,34.0,17749300
2024-10-03,32.09516143798828,33.5,33.75,33.5,33.5,9085400
2024-10-04,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-10-07,32.57419204711914,34.0,34.0,33.75,34.0,15970700
2024-10-08,32.334678649902344,33.75,34.0,33.75,34.0,14942600
2024-10-09,32.09516143798828,33.5,34.0,33.5,33.75,15564000
2024-10-10,32.09516143798828,33.5,33.75,33.5,33.75,7270600
2024-10-11,32.8137092590332,34.25,34.75,33.75,34.0,118991700
2024-10-15,32.09516143798828,33.5,34.25,33.5,34.25,37933300
2024-10-16,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-10-17,32.334678649902344,33.75,34.0,33.5,33.5,26255800
2024-10-18,32.334678649902344,33.75,34.0,33.75,33.75,14803700
2024-10-21,32.57419204711914,34.0,34.0,33.75,34.0,19053500
2024-10-22,32.57419204711914,34.0,34.0,34.0,34.0,0
2024-10-24,32.09516143798828,33.5,33.75,33.5,33.5,10521700
2024-10-25,32.09516143798828,33.5,33.5,33.5,33.5,0
2024-10-28,32.8137092590332,34.25,34.25,33.25,33.5,75145700
2024-10-29,32.8137092590332,34.25,34.25,34.25,34.25,0
2024-10-30,32.09516143798828,33.5,34.0,33.5,33.75,34992500
2024-10-31,32.09516143798828,33.5,33.75,33.5,33.5,17976900
2024-11-01,32.334678649902344,33.75,33.75,33.5,33.5,18419000
2024-11-04,32.09516143798828,33.5,34.0,33.5,33.75,9630000
2024-11-05,32.334678649902344,33.75,34.25,33.75,33.75,30125100
2024-11-06,32.09516143798828,33.5,33.75,33.5,33.75,16566200
2024-11-07,32.09516143798828,33.5,33.75,33.5,33.5,7865000
2024-11-08,31.85564422607422,33.25,33.75,33.25,33.5,17067700
2024-11-11,31.61612892150879,33.0,33.5,33.0,33.25,15618100
2024-11-12,31.61612892150879,33.0,33.25,33.0,33.0,10463600
2024-11-13,31.376611709594727,32.75,33.25,32.75,33.0,18111000
2024-11-14,31.137096405029297,32.5,33.0,32.5,32.75,35789000
2024-11-15,31.137096405029297,32.5,32.75,32.5,32.5,10765100
2024-11-18,30.897579193115234,32.25,32.75,32.25,32.75,23568700
2024-11-19,31.137096405029297,32.5,32.75,32.25,32.5,28461900
2024-11-20,30.897579193115234,32.25,32.5,32.25,32.25,14781400
2024-11-21,31.61612892150879,33.0,33.25,32.25,32.5,37966000
2024-11-22,32.334678649902344,33.75,33.75,33.25,33.25,21975600
2024-11-25,31.85564422607422,33.25,33.75,33.25,33.75,38123400
2024-11-26,31.61612892150879,33.0,33.5,32.75,33.25,21457400
2024-11-27,31.137096405029297,32.5,32.75,32.5,32.75,11700600
2024-11-28,30.897579193115234,32.25,32.75,32.25,32.5,20784500
